          Wells Dam Bull Trout for 01/01/1998 to 04/28/2026        ,,,
Species,Location,Date,Size
Bull Trout,West Ladder,06/05/2013  2:17:59 PM,23
Bull Trout,East Ladder,06/05/2013  3:43:08 PM,19
Bull Trout,East Ladder,06/05/2013  4:10:17 PM,22
Bull Trout,East Ladder,06/06/2013  4:22:21 PM,20
Bull Trout,West Ladder,06/07/2013 12:49:04 AM,25
Bull Trout,West Ladder,06/07/2013  4:58:27 PM,20
Bull Trout,West Ladder,06/07/2013  5:08:20 PM,21
Bull Trout,East Ladder,06/07/2013  6:01:24 PM,23
Bull Trout,West Ladder,06/07/2013  6:43:05 PM,21
Bull Trout,West Ladder,06/08/2013 12:25:17 AM,20
Bull Trout,West Ladder,06/08/2013  7:48:01 AM,21
Bull Trout,West Ladder,06/08/2013 11:42:37 AM,23
Bull Trout,West Ladder,06/08/2013  2:34:38 PM,19
Bull Trout,East Ladder,06/09/2013 10:38:35 AM,15
Bull Trout,West Ladder,06/10/2013  2:17:06 PM,24
Bull Trout,East Ladder,06/10/2013  5:05:43 PM,23
Bull Trout,East Ladder,06/11/2013  5:14:15 PM,16
Bull Trout,West Ladder,06/11/2013  9:24:08 PM,24
Bull Trout,East Ladder,06/12/2013  6:00:30 PM,24
Bull Trout,East Ladder,06/13/2013  6:21:56 AM,22
Bull Trout,East Ladder,06/13/2013  4:57:45 PM,19
Bull Trout,West Ladder,06/13/2013  7:52:01 PM,17
Bull Trout,East Ladder,06/14/2013 11:04:17 AM,20
Bull Trout,East Ladder,06/14/2013 11:04:38 AM,19
Bull Trout,East Ladder,06/14/2013  2:50:43 PM,19
Bull Trout,East Ladder,06/14/2013  3:15:49 PM,19
Bull Trout,East Ladder,06/15/2013  1:43:53 PM,19
Bull Trout,West Ladder,06/15/2013  5:32:25 PM,23
Bull Trout,West Ladder,06/15/2013 10:17:16 PM,17
Bull Trout,East Ladder,06/17/2013 12:00:00 AM,26
Bull Trout,East Ladder,06/18/2013 12:56:27 AM,22
Bull Trout,East Ladder,06/18/2013 11:29:00 AM,20
Bull Trout,West Ladder,06/18/2013  2:16:06 PM,14
Bull Trout,East Ladder,06/18/2013  6:51:00 PM,19
Bull Trout,East Ladder,06/19/2013  9:28:19 AM,22
Bull Trout,West Ladder,06/19/2013 10:49:21 AM,20
Bull Trout,West Ladder,06/19/2013  2:37:56 PM,22
Bull Trout,West Ladder,06/20/2013  5:57:50 PM,23
Bull Trout,West Ladder,06/21/2013  3:13:24 PM,19
Bull Trout,East Ladder,06/21/2013  6:51:56 PM,16
Bull Trout,East Ladder,06/22/2013  9:06:32 AM,21
Bull Trout,East Ladder,06/22/2013 11:44:08 AM,15
Bull Trout,West Ladder,06/23/2013  4:03:15 PM,21
Bull Trout,East Ladder,06/23/2013  4:59:28 PM,21
Bull Trout,East Ladder,06/23/2013  8:19:38 PM,23
Bull Trout,East Ladder,06/24/2013  2:56:19 PM,30
Bull Trout,East Ladder,06/24/2013  3:52:03 PM,23
Bull Trout,East Ladder,06/27/2013  1:21:36 PM,22
Bull Trout,East Ladder,06/28/2013  7:45:03 AM,25
Bull Trout,East Ladder,06/28/2013  4:54:08 PM,23
Bull Trout,West Ladder,06/29/2013 12:04:02 AM,22
Bull Trout,East Ladder,07/01/2013  8:23:23 AM,22
Bull Trout,West Ladder,07/01/2013 10:08:19 PM,21
Bull Trout,East Ladder,07/02/2013  8:28:40 PM,16
Bull Trout,East Ladder,07/04/2013  4:56:33 PM,15
Bull Trout,East Ladder,07/05/2013 11:13:50 AM,18
Bull Trout,East Ladder,07/05/2013  6:18:14 PM,23
Bull Trout,West Ladder,07/11/2013  5:55:24 PM,20
Bull Trout,West Ladder,07/17/2013  6:35:46 PM,18
Bull Trout,East Ladder,07/23/2013 12:47:37 AM,20
Bull Trout,West Ladder,07/24/2013  7:55:40 PM,16
Bull Trout,East Ladder,07/25/2013  1:02:00 PM,22
Bull Trout,West Ladder,08/18/2013  9:47:22 AM,18
Bull Trout,West Ladder,08/28/2013  2:01:30 PM,19
Bull Trout,West Ladder,09/15/2013 11:34:47 PM,19
Bull Trout,West Ladder,11/06/2013  1:37:17 PM,24
Bull Trout,East Ladder,05/06/2014  3:21:00 PM,24
Bull Trout,East Ladder,05/20/2014  5:35:00 PM,28
Bull Trout,West Ladder,05/21/2014  3:42:00 PM,22
Bull Trout,West Ladder,05/22/2014  4:29:00 PM,23
Bull Trout,East Ladder,05/23/2014 10:24:00 AM,23
Bull Trout,East Ladder,05/23/2014  2:21:00 PM,20
Bull Trout,East Ladder,05/23/2014  2:56:00 PM,23
Bull Trout,East Ladder,05/24/2014 11:08:00 AM,22
Bull Trout,West Ladder,05/24/2014  3:00:00 PM,22
Bull Trout,West Ladder,05/25/2014  4:11:00 PM,22
Bull Trout,West Ladder,05/25/2014  4:50:00 PM,25
Bull Trout,East Ladder,05/25/2014  5:53:00 PM,22
Bull Trout,West Ladder,05/25/2014  7:03:00 PM,19
Bull Trout,West Ladder,05/26/2014 11:17:00 AM,25
Bull Trout,West Ladder,05/26/2014  4:21:00 PM,19
Bull Trout,West Ladder,05/26/2014  9:13:00 PM,22
Bull Trout,East Ladder,05/27/2014  2:36:00 PM,23
Bull Trout,East Ladder,05/27/2014  3:24:00 PM,25
Bull Trout,East Ladder,05/28/2014  3:37:00 PM,24
Bull Trout,East Ladder,05/28/2014  4:01:00 PM,26
Bull Trout,West Ladder,05/29/2014  2:57:00 AM,23
Bull Trout,East Ladder,05/29/2014  9:42:00 AM,23
Bull Trout,East Ladder,05/29/2014 11:22:00 AM,20
Bull Trout,West Ladder,05/30/2014 12:50:00 AM,22
Bull Trout,West Ladder,05/30/2014  1:06:00 PM,20
Bull Trout,East Ladder,05/30/2014  3:21:00 PM,23
Bull Trout,West Ladder,05/31/2014  8:17:00 AM,29
Bull Trout,East Ladder,05/31/2014  9:47:00 AM,21
Bull Trout,West Ladder,05/31/2014 11:38:00 AM,22
Bull Trout,East Ladder,06/02/2014  7:52:00 AM,18
Bull Trout,East Ladder,06/02/2014  7:53:00 AM,23
Bull Trout,East Ladder,06/02/2014  8:26:00 AM,24
Bull Trout,West Ladder,06/02/2014  8:41:00 AM,24
Bull Trout,West Ladder,06/02/2014  3:14:00 PM,20
Bull Trout,East Ladder,06/02/2014  5:22:00 PM,25
Bull Trout,West Ladder,06/03/2014  2:05:00 PM,25
Bull Trout,West Ladder,06/03/2014  2:45:00 PM,24
Bull Trout,East Ladder,06/03/2014  6:46:00 PM,20
Bull Trout,East Ladder,06/04/2014 10:16:00 AM,19
Bull Trout,East Ladder,06/05/2014  8:17:00 AM,16
Bull Trout,East Ladder,06/05/2014  9:05:00 AM,25
Bull Trout,West Ladder,06/05/2014 11:00:00 AM,20
Bull Trout,East Ladder,06/05/2014  1:35:00 PM,22
Bull Trout,East Ladder,06/05/2014  1:52:00 PM,24
Bull Trout,West Ladder,06/05/2014  2:43:00 PM,22
Bull Trout,East Ladder,06/05/2014  4:01:00 PM,20
Bull Trout,West Ladder,06/05/2014  7:48:00 PM,21
Bull Trout,West Ladder,06/06/2014  8:45:00 AM,19
Bull Trout,West Ladder,06/06/2014 12:23:00 PM,20
Bull Trout,East Ladder,06/06/2014 12:38:00 PM,26
Bull Trout,East Ladder,06/06/2014  3:01:00 PM,22
Bull Trout,West Ladder,06/06/2014  5:23:00 PM,24
Bull Trout,East Ladder,06/07/2014 10:29:00 AM,20
Bull Trout,East Ladder,06/07/2014  4:36:00 PM,22
Bull Trout,East Ladder,06/07/2014  9:11:00 PM,23
Bull Trout,East Ladder,06/07/2014  9:54:00 PM,22
Bull Trout,East Ladder,06/07/2014 10:44:00 PM,20
Bull Trout,East Ladder,06/08/2014  1:47:00 PM,23
Bull Trout,East Ladder,06/09/2014  1:52:00 PM,20
Bull Trout,East Ladder,06/09/2014  4:41:00 PM,21
Bull Trout,East Ladder,06/10/2014  9:14:00 AM,22
Bull Trout,East Ladder,06/10/2014  9:19:00 AM,20
Bull Trout,East Ladder,06/10/2014 11:15:00 AM,21
Bull Trout,East Ladder,06/10/2014 11:39:00 AM,18
Bull Trout,East Ladder,06/10/2014  1:11:00 PM,25
Bull Trout,East Ladder,06/10/2014  4:00:00 PM,22
Bull Trout,West Ladder,06/11/2014  4:19:00 PM,19
Bull Trout,East Ladder,06/11/2014  8:28:00 PM,16
Bull Trout,West Ladder,06/12/2014  7:21:00 AM,22
Bull Trout,West Ladder,06/12/2014  8:38:00 AM,25
Bull Trout,East Ladder,06/12/2014  9:40:00 AM,21
Bull Trout,West Ladder,06/12/2014 10:43:00 AM,23
Bull Trout,West Ladder,06/12/2014 12:32:00 PM,18
Bull Trout,East Ladder,06/12/2014  4:10:00 PM,18
Bull Trout,West Ladder,06/12/2014  6:48:00 PM,24
Bull Trout,East Ladder,06/13/2014  1:52:00 PM,17
Bull Trout,East Ladder,06/13/2014  3:04:00 PM,20
Bull Trout,West Ladder,06/14/2014 11:39:00 AM,25
Bull Trout,East Ladder,06/14/2014  2:10:00 PM,24
Bull Trout,East Ladder,06/14/2014  3:21:00 PM,21
Bull Trout,East Ladder,06/15/2014 11:45:00 AM,24
Bull Trout,West Ladder,06/15/2014  1:06:00 PM,24
Bull Trout,East Ladder,06/15/2014  2:19:00 PM,24
Bull Trout,West Ladder,06/15/2014  8:59:00 PM,19
Bull Trout,West Ladder,06/17/2014  2:18:00 PM,25
Bull Trout,East Ladder,06/17/2014  3:25:00 PM,25
Bull Trout,East Ladder,06/18/2014 12:03:00 PM,17
Bull Trout,West Ladder,06/18/2014  1:41:00 PM,22
Bull Trout,West Ladder,06/19/2014 11:06:00 AM,19
Bull Trout,East Ladder,06/19/2014 12:18:00 PM,15
Bull Trout,East Ladder,06/19/2014 12:42:00 PM,24
Bull Trout,East Ladder,06/20/2014  9:30:00 AM,22
Bull Trout,West Ladder,06/21/2014  9:57:00 AM,16
Bull Trout,East Ladder,06/21/2014 12:10:00 PM,16
Bull Trout,West Ladder,06/22/2014 10:36:00 AM,20
Bull Trout,West Ladder,06/22/2014  5:27:00 PM,27
Bull Trout,East Ladder,06/22/2014  5:58:00 PM,23
Bull Trout,East Ladder,06/23/2014 11:31:00 AM,21
Bull Trout,East Ladder,06/23/2014  3:18:00 PM,16
Bull Trout,West Ladder,06/24/2014  2:51:00 PM,18
Bull Trout,West Ladder,06/25/2014  1:47:00 PM,23
Bull Trout,East Ladder,06/25/2014  3:40:00 PM,15
Bull Trout,East Ladder,06/25/2014  7:26:00 PM,16
Bull Trout,East Ladder,06/26/2014  2:51:00 AM,21
Bull Trout,East Ladder,06/26/2014  6:29:00 AM,22
Bull Trout,West Ladder,06/27/2014 11:53:00 AM,23
Bull Trout,East Ladder,06/27/2014  6:35:00 PM,25
Bull Trout,West Ladder,06/28/2014  9:28:00 AM,26
Bull Trout,East Ladder,06/28/2014  7:47:00 PM,14
Bull Trout,East Ladder,06/29/2014  4:15:00 PM,15
Bull Trout,West Ladder,07/07/2014  3:02:00 PM,16
Bull Trout,East Ladder,07/10/2014 12:54:00 PM,20
Bull Trout,West Ladder,07/14/2014  8:55:00 PM,18
Bull Trout,West Ladder,10/24/2014  7:59:00 AM,20
Bull Trout,West Ladder,05/05/2015  7:30:00 PM,25
Bull Trout,West Ladder,05/09/2015  7:27:00 PM,25
Bull Trout,West Ladder,05/09/2015  7:51:00 PM,24
Bull Trout,West Ladder,05/11/2015  1:11:00 PM,23
Bull Trout,West Ladder,05/16/2015  9:21:00 AM,26
