tag,mark_file,mark_date,mark_site,release_date,release_site,species_code,species_name,run_code,run_name,rear_type_code,rear_type_name,recap_date,recap_file,recap_release_date,recap_release_site,recap_site,recap_species_code,recap_species_name,recap_run_code,recap_run_name,recap_rear_type_code,recap_rear_type_name,recap_length,recap_capture_method_name,recap_capture_method_code,recap_count
3DD.007741A5F1,NBD15286.AAZ,10/13/2015,"CHIWAT - Chiwawa River Trap, 0.5 km below CHIP acclimation pond",10/13/2015,"CHIWAT - Chiwawa River Trap, 0.5 km below CHIP acclimation pond",7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,10/14/2015,NBD15287.AAZ,10/14/2015,"CHIWAT - Chiwawa River Trap, 0.5 km below CHIP acclimation pond","CHIWAT - Chiwawa River Trap, 0.5 km below CHIP acclimation pond",7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,181,Screw Trap,SCREWT,1
3DD.007741AAC5,NBD-2017-091-TUM.xml,4/1/2017,"TUM - Tumwater Dam, Wenatchee River",7/8/2017,TUMFBY - TUM - Release into the Forebay within 0.5 km upstream of Dam,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,6/23/2018,NBD-2018-079-001.xml,6/23/2018,TUMFBY - TUM - Release into the Forebay within 0.5 km upstream of Dam,"TUM - Tumwater Dam, Wenatchee River",7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,620,Adult Passage Ladder,LADDER,1
3DD.007741BC9B,NBD17283.AAZ,10/10/2017,"CHIWAT - Chiwawa River Trap, 0.5 km below CHIP acclimation pond",10/10/2017,"CHIWAT - Chiwawa River Trap, 0.5 km below CHIP acclimation pond",7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,6/12/2019,NBD-2019-163-001.xml,6/12/2019,CHIWAR - Chiwawa River,CHIW - Chiwawa Weir,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,450,Weir Trap,WTRAP,1
3DD.007741BD81,NBD-2017-091-TUM.xml,4/1/2017,"TUM - Tumwater Dam, Wenatchee River",6/30/2017,TUMFBY - TUM - Release into the Forebay within 0.5 km upstream of Dam,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,7/10/2018,NBD-2018-079-001.xml,7/10/2018,TUMFBY - TUM - Release into the Forebay within 0.5 km upstream of Dam,"TUM - Tumwater Dam, Wenatchee River",7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,530,Adult Passage Ladder,LADDER,1
3DD.007741BD81,NBD-2017-091-TUM.xml,4/1/2017,"TUM - Tumwater Dam, Wenatchee River",6/30/2017,TUMFBY - TUM - Release into the Forebay within 0.5 km upstream of Dam,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,7/6/2020,NBD-2020-140-001.xml,7/6/2020,TUMFBY - TUM - Release into the Forebay within 0.5 km upstream of Dam,"TUM - Tumwater Dam, Wenatchee River",7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,NA,Adult Passage Ladder,LADDER,1
3DD.007741C0BC,CSS-2020-254-112.xml,9/10/2020,"CHIWAT - Chiwawa River Trap, 0.5 km below CHIP acclimation pond",9/10/2020,"CHIWAT - Chiwawa River Trap, 0.5 km below CHIP acclimation pond",7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,10/2/2025,CSS-2025-275-112.xml,10/2/2025,"CHIWAT - Chiwawa River Trap, 0.5 km below CHIP acclimation pond","CHIWAT - Chiwawa River Trap, 0.5 km below CHIP acclimation pond",7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,NA,Screw Trap,SCREWT,1
3DD.007741C87D,NBD17275.AAZ,10/2/2017,"CHIWAT - Chiwawa River Trap, 0.5 km below CHIP acclimation pond",10/2/2017,"CHIWAT - Chiwawa River Trap, 0.5 km below CHIP acclimation pond",7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,10/4/2017,NBD17277.AAZ,10/4/2017,"CHIWAT - Chiwawa River Trap, 0.5 km below CHIP acclimation pond","CHIWAT - Chiwawa River Trap, 0.5 km below CHIP acclimation pond",7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,265,Screw Trap,SCREWT,1
3DD.007741CA84,NBD-2020-189-001.xml,7/13/2020,CHIW - Chiwawa Weir,7/13/2020,CHIWAR - Chiwawa River,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,9/25/2023,CSS-2023-268-112.xml,9/25/2023,"CHIWAT - Chiwawa River Trap, 0.5 km below CHIP acclimation pond","CHIWAT - Chiwawa River Trap, 0.5 km below CHIP acclimation pond",7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,NA,Screw Trap,SCREWT,1
3DD.007741CA84,NBD-2020-189-001.xml,7/13/2020,CHIW - Chiwawa Weir,7/13/2020,CHIWAR - Chiwawa River,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,9/27/2024,CSS-2024-271-112.xml,9/27/2024,"CHIWAT - Chiwawa River Trap, 0.5 km below CHIP acclimation pond","CHIWAT - Chiwawa River Trap, 0.5 km below CHIP acclimation pond",7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,497,Screw Trap,SCREWT,1
3DD.007741CBE3,NBD-2017-091-TUM.xml,4/1/2017,"TUM - Tumwater Dam, Wenatchee River",7/10/2017,TUMFBY - TUM - Release into the Forebay within 0.5 km upstream of Dam,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,6/29/2018,NBD-2018-079-001.xml,6/29/2018,TUMFBY - TUM - Release into the Forebay within 0.5 km upstream of Dam,"TUM - Tumwater Dam, Wenatchee River",7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,NA,Adult Passage Ladder,LADDER,1
