tag,mark_file,mark_data_project,mark_site,mark_date,release_site,release_date,species_code,species_name,run_code,run_name,rear_type_code,rear_type_name,length,mark_count
3DD.003D937187,CGS-2021-264-LF1.xml,CGS - Charles Snow Projects,TWISPR - Twisp River,10/7/2021,TWISPR - Twisp River,10/7/2021,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,82,1
3DD.003D9371AE,CGS-2021-264-LF1.xml,CGS - Charles Snow Projects,TWISPR - Twisp River,10/6/2021,TWISPR - Twisp River,10/6/2021,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,163,1
3DD.003D9371FC,CGS-2020-120-WL1.xml,CGS - Charles Snow Projects,WELLD2 - WEL - Release into the West Adult Fish Ladder,5/22/2020,WELLD2 - WEL - Release into the West Adult Fish Ladder,5/23/2020,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,540,1
3DD.003D937293,CGS-2021-180-LB1.xml,CGS - Charles Snow Projects,TWISPR - Twisp River,7/12/2021,TWISPR - Twisp River,7/12/2021,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,180,1
3DD.003D9372CD,CGS-2021-180-LB1.xml,CGS - Charles Snow Projects,TWISPR - Twisp River,7/12/2021,TWISPR - Twisp River,7/12/2021,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,187,1
3DD.003D937B3C,CGS-2023-045-001.xml,CGS - Charles Snow Projects,METHR - Methow River,3/23/2023,METHR - Methow River,3/23/2023,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,360,1
3DD.003D937B77,CGS-2018-039-001.xml,CGS - Charles Snow Projects,METHR - Methow River,3/24/2022,METHR - Methow River,3/24/2022,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,440,1
3DD.003D980F40,CGS-2018-039-001.xml,CGS - Charles Snow Projects,METHR - Methow River,2/17/2022,METHR - Methow River,2/17/2022,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,430,1
3DD.003D9DFB23,CGS-2021-006-001.xml,CGS - Charles Snow Projects,METRWT - Upper Methow River Rotary Screw Trap,4/18/2021,METRWT - Upper Methow River Rotary Screw Trap,4/19/2021,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,222,1
3DD.003DE596E3,CGS-2021-177-MET.xml,CGS - Charles Snow Projects,METRWT - Upper Methow River Rotary Screw Trap,11/21/2021,METHR - Methow River,11/21/2021,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,203,1
